,CholeskyCMAES,CholeskyCMAES_Aupdate1,pycma,pycmaDiagonal,netname,layername,channum,noise_level,RND,expdir
132,7.882947799057554e-12,3.112428879352115e-10,7.129212378336419e-08,0.00013432181797576955,alexnet,.features.ReLU7,7,0.0,40742,alexnet_.features.ReLU7_007
133,8.2586591720446e-12,2.6504144672652526e-10,7.148761498017133e-08,0.00019483578659665953,alexnet,.features.ReLU7,8,0.0,3223,alexnet_.features.ReLU7_008
134,8.193379389500537e-12,2.9962840821643237e-10,7.145202543630108e-08,0.00013740352820944667,alexnet,.features.ReLU7,9,0.0,7001,alexnet_.features.ReLU7_009
135,8.52687486247986e-12,3.0758689519106765e-10,7.146748030871158e-08,0.00018236517472474927,alexnet,.features.ReLU7,10,0.0,90134,alexnet_.features.ReLU7_010
136,8.242045742692322e-12,2.877186224938732e-10,7.159023498320913e-08,0.0001598041593613205,alexnet,.features.ReLU7,11,0.0,65260,alexnet_.features.ReLU7_011
137,8.076468549087292e-12,2.996986633010978e-10,7.169701896717307e-08,0.00016657237917261874,alexnet,.features.ReLU7,12,0.0,48571,alexnet_.features.ReLU7_012
138,7.960424656746813e-12,2.872515144741381e-10,7.122568371598838e-08,0.00013623078910347027,alexnet,.features.ReLU7,13,0.0,6279,alexnet_.features.ReLU7_013
139,7.976727576913553e-12,3.0276229156778366e-10,7.118885921222514e-08,0.00014360477158883455,alexnet,.features.ReLU7,14,0.0,97187,alexnet_.features.ReLU7_014
140,8.643641989346774e-12,2.879072765418764e-10,7.147437708082093e-08,0.00019813392206232083,alexnet,.features.ReLU7,15,0.0,95470,alexnet_.features.ReLU7_015
141,7.907149823526e-12,3.16008457639797e-10,7.14389165516044e-08,0.00019430755588874742,alexnet,.features.ReLU7,16,0.0,57399,alexnet_.features.ReLU7_016
142,8.012576213632724e-12,2.7982850769379655e-10,7.132103662762543e-08,0.00019004035665957605,alexnet,.features.ReLU7,17,0.0,85812,alexnet_.features.ReLU7_017
143,8.145732435509194e-12,3.0826365248105143e-10,7.149868540165326e-08,0.00013660814972258587,alexnet,.features.ReLU7,18,0.0,83200,alexnet_.features.ReLU7_018
144,7.978969251795952e-12,3.0057542528349527e-10,7.14606501385737e-08,0.00017980622048988912,alexnet,.features.ReLU7,19,0.0,92564,alexnet_.features.ReLU7_019
145,8.507848493342731e-12,2.886291357769464e-10,7.145354894724944e-08,0.00012907482857991642,alexnet,.features.ReLU7,20,0.0,5774,alexnet_.features.ReLU7_020
146,8.1872570513764e-12,3.001489542498235e-10,7.127160010340109e-08,0.00019220557572783786,alexnet,.features.ReLU7,21,0.0,76931,alexnet_.features.ReLU7_021
147,8.02568834883654e-12,2.7867991574804e-10,7.13711667138369e-08,0.0002101336217157051,alexnet,.features.ReLU7,22,0.0,48844,alexnet_.features.ReLU7_022
148,8.056860465005395e-12,2.9060244437796276e-10,7.134000144922659e-08,0.0001391904677206234,alexnet,.features.ReLU7,23,0.0,47091,alexnet_.features.ReLU7_023
149,7.721154569623029e-12,2.849460723522899e-10,7.14280721573731e-08,0.00014637847049191392,alexnet,.features.ReLU7,24,0.0,6132,alexnet_.features.ReLU7_024
150,8.934770064479717e-12,2.819165216668375e-10,7.14388532691909e-08,0.00016833024166295805,alexnet,.features.ReLU9,0,0.0,46733,alexnet_.features.ReLU9_000
151,8.297578417534294e-12,3.1286102354608357e-10,7.139842446060441e-08,0.000133656076121505,alexnet,.features.ReLU9,1,0.0,23796,alexnet_.features.ReLU9_001
152,8.598999388118551e-12,2.988211218233183e-10,7.13145202384784e-08,0.00017592362626815848,alexnet,.features.ReLU9,2,0.0,34651,alexnet_.features.ReLU9_002
153,8.3580556973916e-12,2.964457413515204e-10,7.151981411850859e-08,0.00013289386762639424,alexnet,.features.ReLU9,3,0.0,35685,alexnet_.features.ReLU9_003
154,7.681979783934067e-12,2.863374488311651e-10,7.12072747345352e-08,0.00014750301557908113,alexnet,.features.ReLU9,4,0.0,1710,alexnet_.features.ReLU9_004
155,7.933100626137045e-12,2.7688061189040523e-10,7.145025456639054e-08,0.00014435316150748813,alexnet,.features.ReLU9,5,0.0,61502,alexnet_.features.ReLU9_005
156,7.998656418878958e-12,2.781274496557201e-10,7.137451926885959e-08,0.00015757461510829335,alexnet,.features.ReLU9,6,0.0,22913,alexnet_.features.ReLU9_006
157,8.216600699323441e-12,2.8138684261555196e-10,7.140492368358494e-08,0.00017356898956778343,alexnet,.features.ReLU9,7,0.0,47931,alexnet_.features.ReLU9_007
158,8.152039426785388e-12,2.836339697984398e-10,7.144889872249434e-08,0.0001719304924371124,alexnet,.features.ReLU9,8,0.0,73802,alexnet_.features.ReLU9_008
